,Team,Season,Goals For,Total Shots,Total PIM,Avg Age,Team +/-,Sum OPS,Sum DPS,Highest Scorer PTS,Highest G,Highest A,GP,Playoffs
329,CGY,2016,229,2398,740,25.9,-104,42.5,26.1,78,30,48,82,0
324,CHI,2016,234,2498,581,27.1,57,44.5,40.1,106,46,60,82,1
328,COL,2016,212,2348,754,26.6,-141,35.0,30.099999999999998,59,30,39,82,0
304,DAL,2016,265,2624,701,26.5,106,56.8,35.0,89,41,48,82,1
316,DET,2016,209,2432,700,27.2,-56,33.1,36.1,50,23,37,82,1
306,EDM,2016,199,2386,776,25.8,-206,29.4,29.3,65,26,39,82,0
309,FLA,2016,232,2358,829,26.9,182,43.3,42.7,66,28,42,82,1
318,LAK,2016,223,2625,856,27.5,158,40.4,46.9,74,31,49,82,1
307,MIN,2016,213,2374,525,26.4,29,35.7,42.6,56,25,43,82,1
311,MTL,2016,216,2504,764,25.8,-78,37.3,33.2,64,30,45,82,0
300,NJD,2016,182,2003,798,26.2,-147,22.6,41.699999999999996,57,30,28,82,0
327,NSH,2016,224,2507,794,26.4,34,40.2,40.8,64,33,47,82,1
313,NYI,2016,227,2412,694,26.7,32,41.0,38.5,70,33,42,81,1
308,NYR,2016,233,2336,698,27.7,137,43.6,38.2,61,27,42,82,1
322,OTT,2016,230,2325,880,25.9,20,42.300000000000004,28.2,82,29,66,82,0
319,PHI,2016,211,2540,956,27.3,-16,34.4,37.9,67,32,45,82,1
315,PIT,2016,241,2722,687,26.8,165,47.300000000000004,42.5,85,36,51,82,1
320,SJS,2016,237,2491,707,27.4,49,45.7,42.1,82,38,63,82,1
314,STL,2016,219,2474,847,27.2,46,38.3,43.3,74,40,39,82,1
310,TBL,2016,224,2402,795,25.9,87,40.1,43.300000000000004,66,36,37,81,1
