Team,Season,G,S,PIM,Avg Age,+/-,OPS,DPS,g_1,g_2,g_3,a_1,a_2,a_3
ANA,2007,-0.6053090608322639,-0.8810196900179253,0.4606114281249487,0.8239906995793422,0.48152507848747955,0.10632107304271261,0.05139485973030233,0.05037399475533784,0.4421390912126913,-1.0696360981385942,-0.6909406288494627,0.36709339279700315,1.109649645152262
ANA,2008,0.2961435421762514,0.5277328592881185,1.7747821981433969,1.9536609757163546,0.9650153079864922,0.5306843063149816,1.7415865755013993,1.3546498346197593,-1.3029978041122208,-0.45679992813949993,-0.033856620916431525,1.0825241973832682,1.1496760756758617
ANA,2009,-1.237339245561443,-0.8348205859448743,2.0708155012777354,0.9791967323219283,0.7703738725144267,-1.1884938465298542,0.8266045012322754,0.057542742057488834,0.853208681698738,0.19338181590245315,0.8962010229340479,-1.1210571155850768,-0.5851462532741251
ANA,2010,0.07359609067949206,0.1779566005002271,2.494986835687478,-0.6616224580077702,0.20605002468295527,0.7307383910696619,-0.15620146331985682,0.37542193578845284,0.8712598990743745,1.4791697122642944,1.5909040379818424,0.0789962296140519,0.6682584407120675
ANA,2011,-0.011798229454575385,-0.9768862920886505,0.9384092807212758,1.2117905109502927,-0.4311055015711838,0.12185764616382938,-1.6064939376356477,0.6879502929395191,1.0576295925781443,0.5267311342782247,0.8796924581111766,0.49584405114212055,-0.09310062425937711
ANA,2012,1.1772520911472564,0.007755280544689031,0.36924079137350996,1.1253729734811466,-0.30178942592452584,1.187407908575656,0.034876030166940034,1.8518847063046293,1.3060310326257107,2.065274491483366,1.953815718784415,1.811197012264989,2.5661665604856436
ANA,2013,-0.3978342462911652,0.6917662640251031,1.1792536276229246,0.3523295242446968,-1.1313611658949532,-1.1124010534792095,-0.0019983061542667643,0.35938320929722234,0.3896348753447788,0.31484917713988236,-0.430843060946241,-0.27756419801033555,-1.4674118162755476
ANA,2014,0.42790075202827826,0.9148832986977646,0.6970078439604147,0.14729350716288644,1.0392587095050436,0.3297291151545181,0.7105059891993193,-0.6689800046154905,-0.11422347475601513,-0.5433035626454927,0.8329919505190948,-0.40245174666722566,-0.6887802668919014
ANA,2015,1.1839842173073523,0.5842996374345412,1.1173642699167843,0.17496307027201277,1.589142418555889,0.8386461183617787,0.6035396830638818,1.161876452480469,1.2164549727801808,0.46851518241038825,1.1302960423460893,-0.0583655086799905,0.01647451674532875
ANA,2016,0.7197758492815426,1.0514119882143642,2.3210221982394352,-0.18838084839912161,0.7122259949259964,0.538743584892656,0.6972927863896061,0.9954992320386695,0.04652673698078803,-0.8574644279068256,0.25320884067864985,-1.2800759364229906,-1.1853522164358514
ANA,2017,-0.18312342601039855,0.6306955857751193,2.004563818229159,0.36047323952814897,-0.004756189905803101,-0.6117745898697926,1.4477902073964883,0.07195869794441256,-1.0395443611516066,-0.6700076330488393,0.6439069547836556,-1.0663186859494944,-0.4120469858459346
ANA,2018,1.4740907509468026,1.876120477220186,2.4476991050046846,1.5550008817590564,0.1661123516479432,0.39600205240896014,1.683180468507846,0.8317179324921115,1.038619272825621,0.051982496123243974,1.8963965396018119,-0.7317941455017526,-0.29120151102789843
ANA,2019,0.21859227484176624,-0.5383940648707625,0.13195234280623747,0.3849967138052921,1.1343113959667648,0.1495718113064998,0.9395069722753622,-0.01891331294737929,-1.105194460548265,-0.40894974895279484,1.8605117270886633,-0.9075868891387825,-0.29287363034900044
ANA,2020,-2.1236682633677626,-1.8807550525340584,-0.13470391371711157,-1.1444406498040756,-0.8244919048992703,-1.7961994786985775,-0.39212833694104293,-0.9422239724550054,-0.8886390634642058,-1.0181638470664374,-1.2404453900774228,-1.9616125887731448,-1.4139751260709612
ANA,2021,-0.8430999297452206,-0.2585315627828216,0.2790681808295872,0.4419610949941434,-0.5516905828348535,-0.9758465388376858,-0.23218348197389682,-0.75303418698434,-0.7687906774299956,-1.0350982154952346,-1.643225067898243,-1.0985234044090382,-1.2562650125987482
ANA,2022,-1.7345383942712282,-1.4477768838472065,0.6254232999840088,-0.2604404132866731,-1.2085069166647373,-1.8535173206976883,-1.0703832362761883,-1.411035785562882,-1.3798415534411015,-2.418825424707089,-1.2682823939019947,-1.2740610038630282,-1.3365987369152152
ARI,2007,-1.2768383733118172,-1.6326608458654803,-0.12713709102091283,-0.23818481159714813,-1.029141834414417,-0.9459287220191791,-1.2857811367926137,-1.2394569537571258,-1.001580390298138,-0.7204421829387098,0.5180366200660191,-0.19820251626301905,-0.23340456695917192
ARI,2008,-2.430722737268441,-1.8684187243022425,0.1024430005540825,-1.385429747397062,-1.8043747106497863,-2.1366842503930457,-2.4189973854204707,-1.2834816367864745,-0.921787556667768,-2.2924813369759556,-1.417077778094295,-1.906956556360031,-1.5571290106242068
ARI,2009,-0.8255966638473108,-0.3448635082851378,1.0953512457089665,-1.0659609997428694,-0.779128121065727,-0.47146544739085716,-0.47781426572088675,-0.36948497531650226,-0.1862333670712995,-0.598625621240701,-0.3381648049234631,-0.5662068499843583,-0.26597556967005626
ARI,2010,-1.0916753450791294,-0.6400053524716705,-0.723405487602996,-0.42532872300499247,-0.5275141454699709,-1.1573988637723311,-0.42312801456265176,-0.7637400449436869,0.030078603888465907,-1.9241811262541435,-1.1121460003835693,-0.767391944822217,-0.833500527869961
ARI,2011,0.34214865418268114,0.9399098000975412,-0.18122244235726334,1.040714203522017,0.3650956615516024,-0.1729592397164018,1.6594552762390202,-0.7240464502851143,-0.16673219459467198,-0.2871023779113062,-1.1615066607880251,-0.7911908314574979,-1.3196001525459649
ARI,2012,-1.102366083478395,-1.0392075929884166,-0.9633575534331413,1.0007929395164425,1.0281300781496558,-0.794121500204445,-0.11248747758069079,-1.4074847361399903,-1.5324097449474976,-1.4786876536656075,-0.34377482585154545,0.4708646029311821,1.242642259948636
ARI,2013,-0.22914127966593623,0.7447699659838045,-0.7032781107075757,0.4710922852260597,-0.050637673090522084,-0.8165040885984636,-0.0019983061542667643,0.2833807179050605,-1.454063272974363,-2.0066893338192546,-1.4081212235804004,-1.5092820566694543,-0.9988895249998294
